,Q,A
2054,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
2055,A, Let's think step by step. 
2056,The hotel pays $210 per week for newspapers. ,
2057,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
2058,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
2059,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
2060,$8 + $1 = $9 ,
2061,$9 x 7 = $63 ,
2062,30st data,
2063,1_th_sampling,
2064,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
2065,A, Let's think step by step. 
2066,We know that the probability that stock A will increase in value is 0.56. ,
2067,We also know that the probability that stock B will increase in value is 0.74. ,
2068,We want to find the greatest value for the probability that neither of these two events will occur. ,
2069,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
2070,We can use the AND rule for probability to help us solve this problem. ,
2071,The AND rule for probability states that the probability of two events occurring ,
2072,"Therefore, among A through E, the answer is D. ",
2073,P(A AND B) = P(A) * P(B),
2074,P(A AND B) = 0.,
2075,31st data,
2076,1_th_sampling,
2077,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
2078,A, Let's think step by step. 
2079,There are 10 oranges in the basket. ,
2080,You want to choose 2 oranges. ,
2081,How many ways can you choose the first orange? ,
2082,There are 10 ways. ,
2083,How many ways can you choose the second orange? ,
2084,There are 9 ways. ,
2085,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
2086,Answer, (B) 90 
2087,32st data,
2088,1_th_sampling,
2089,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
2090,A, Let's think step by step. 
2091,There are 20 white marbles in the bag. ,
2092,"We pull them out, paint them black, and put them back in. ",
2093,"Now, the bag has 20 black marbles and 20 white marbles. ",
2094,"We pull out 20 marbles again, and this time 1 of them is black. ",
2095,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
2096,"Now, we want to know how many marbles are in the bag in total. ",
2097,We can set up the following equation, 
2098,(% black marbles pulled out ,
2099,"Therefore, among A through E, the answer is D. ",
2100,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
2101,A, Let's think step by step. 
2102,There are more than 501 students in the school. ,
2103,20% of them exactly took physics. ,
2104,28% of them exactly took math. ,
2105,We can write this as, 
2106,There are more than 501 students in the school. ,
2107,There are more than 100 students who took physics. ,
2108,There are more than 140 students who took math. ,
2109,We want to find the least possible number of students in the school. ,
2110,The least possible number of students in the school is 241. ,
2111,2st data,
2112,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
2113,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
2114,We can write this out as, 
2115,-50 + (-49) + ... + k = 51 ,
2116,We can solve this equation for k, 
2117,k = 102 ,
2118,3st data,
2119,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
2120,A, Let's think step by step. 
2121,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
2122,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
2123,4st data,
2124,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
2125,A, Let's think step by step. 
2126,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
2127,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
2128,"Now, we need to calculate the total amount of interest that accrues over the life ",
2129,5st data,
2130,1_th_sampling,
2131,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
2132,A, Let's think step by step. 
2133,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
2134,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
2135,There are 5 registered voters in total. ,
2136,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
2137,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
2138,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
2139,6st data,
2140,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
2141,A, Let's think step by step. 
2142,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
2143,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
2144,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
2145,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
2146,"Therefore, the answer is 26. ",
2147,7st data,
2148,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
2149,A, Let's think step by step. 
2150,The cost of new tires is $180 per tire. ,
2151,The cost of repairing the current tires is $40 per tire. ,
2152,The difference in cost is $180 - $40 = $140. ,
2153,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
2154,$140/$40 = 3.5 ,
2155,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
2156,8st data,
2157,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
2158,A, Let's think step by step. 
2159,Anna is able to buy 5 more articles for $300. ,
2160,That means that the 5 articles cost $60 each. ,
2161,The price of each article decreased by 15%. ,
2162,That means that the original price of each article was $70. ,
2163,$70 - $60 = $10 ,
2164,The new selling price of each article is $10. ,
2165,9st data,
2166,A, Let's think step by step. 
2167,The first car will travel 15 miles in 15/55 hours. ,
2168,The second car will travel 15 miles in 15/52 hours. ,
2169,Now we need to compare the two times. ,
2170,15/55 = 0.2727272727272727 ,
2171,15/52 = 0.28846153846153846 ,
2172,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
2173,10st data,
2174,1_th_sampling,
2175,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
2176,A, Let's think step by step. 
2177,The grocery sells a bag of ice for $1.25. ,
2178,This means that the grocery buys the bag of ice for $1. ,
2179,The grocery makes 20% profit. ,
2180,This means that the grocery's profit is $0.20. ,
2181,The grocery sells 500 bags of ice. ,
2182,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
2183,11st data,
2184,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
2185,A, Let's think step by step. 
2186,The car is currently travelling at 60 km/hr. ,
2187,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
2188,"Therefore, the car would need to gain 300 km/hr. ",
2189,12st data,
2190,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
2191,A, Let's think step by step. 
2192,There are 10 different types of books. ,
2193,That means we need at least 10 different codes. ,
2194,The codes can be either a single letter or a pair of two different letters. ,
2195,That means the maximum number of codes we would need is 20. ,
2196,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
2197,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
2198,The minimum number of codes we could use is 3. ,
2199,13st data,
2200,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
2201,A, Let's think step by step. 
2202,Q is as much younger than R as he is older than T. ,
2203,Q is younger than R by x years. ,
2204,Q is older than T by x years. ,
2205,Now we have two equations and two unknowns. We can solve for x. ,
2206,R + T = 50 ,
2207,R - Q = x ,
2208,T - Q = x ,
2209,R + T = 50 ,
2210,R - T = -x ,
2211,2T = 50 - x ,
2212,T = 25 - (1/2)x ,
2213,14st data,
2214,A, Let's think step by step. 
2215,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
2216,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
2217,2/5sp = h ,
2218,"We also know that the width is 50 cm, so we can set up another equation", 
2219,w = 50 ,
2220,15st data,
2221,1_th_sampling,
2222,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
2223,A, Let's think step by step. 
2224,"C's share is 150,000. ",
2225,"The total profit is 375,000. ",
2226,"That means B's share is 375,000 - 150,000 = 225,000. ",
2227,"Now we know that B's share is 60,000 more than A's share. ",
2228,"That means A's share is 225,000 - 60,000 = 165,000. ",
2229,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
2230,That means the total profit is 165% of ,
2231,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
2232,16st data,
2233,1_th_sampling,
2234,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
2235,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
2236,17st data,
2237,1_th_sampling,
2238,A, Let's think step by step. 
2239,The athlete runs M miles in 4 hours. ,
2240,That's an average speed of M/4 miles per hour. ,
2241,The athlete rides a bike N miles in the same number of hours. ,
2242,That's an average speed of N/4 miles per hour. ,
2243,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
2244,(M/4) + (N/4) = (M + N)/8,
2245,18st data,
2246,1_th_sampling,
2247,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
2248,A, Let's think step by step. 
2249,There are a total of 250 files. ,
2250,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
2251,This means that the number of files that are infected only by a worm is 125. ,
2252,125 + 125 = 250 ,
2253,This means that all of Sam's files are infected by either a virus or a worm or both. ,
2254,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
2255,125 files are infected by both a virus and a worm. ,
2256,19st data,
2257,1_th_sampling,
2258,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
2259,A, Let's think step by step. 
2260,Jack can clean a yacht in 12 hours. ,
2261,"On a particular day, he happens to finish two-thirds of the work. ",
2262,That means he finishes 8 hours of work. ,
2263,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
2264,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
2265,It will take her 8/0.6=13.3 hours to finish the work. ,
2266,20st data,
2267,1_th_sampling,
2268,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
2269,A, Let's think step by step. 
2270,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
2271,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
2272,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
2273,21st data,
2274,1_th_sampling,
2275,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
2276,A, Let's think step by step. 
2277,"First, we know that 10% of the staplers were defective. ",
2278,"That means that for every 10 staplers, 1 was defective. ",
2279,We also know that 2% of the non-defective staplers were rejected by mistake. ,
2280,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
2281,We're told that 72 of the non-defective staplers were rejected. ,
2282,That means that there were 72 more staplers rejected than there were defective stapl ,
2283,"Therefore, among A through E, the answer is D. ",
2284,"There were 4,800 staplers produced that day.",
2285,22st data,
2286,1_th_sampling,
2287,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
2288,"The first train, M, will take 4 hours to reach City B. ",
2289,"The second train, N, will take 3.5 hours to reach City A. ",
2290,"Therefore, the two trains will cross one another at 8",30 am. 
2291,23st data,
2292,1_th_sampling,
2293,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
2294,A, The first ant casts a shadow that is 10 inches long. 
2295,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
2296,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
2297,24st data,
2298,1_th_sampling,
2299,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
2300,A, Let's think step by step. 
2301,The store had 600 golf balls in stock. ,
2302,80% of 600 golf balls is 480 golf balls. ,
2303,That means that the store sold 480 golf balls in total. ,
2304,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
2305,That means that it had 360 yellow golf balls to begin the day. ,
2306,25st data,
2307,1_th_sampling,
2308,Q, 900 + 5 × 12 = ? 
2309,A, Let's think step by step. 
2310,900 + 5 × 12 = ,
2311,900 + 5 × (10 + 2) = ,
2312,900 + 5 × 10 + 5 × 2 = ,
2313,900 + 50 + 10 = ,
2314,960 ,
2315,26st data,
2316,1_th_sampling,
2317,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
2318,A, Let's think step by step. 
2319,"Arjun and Sajal are friends, each has some money. ",
2320,We can set up two equations to solve for the amount of money each person has. ,
2321,Arjun + Sajal = x ,
2322,2(x - 30) = 3(x - 10) ,
2323,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
2324,x = 100 ,
2325,Arjun + Sajal = 100 ,
2326,Arjun = 100 - Sajal ,
2327,Now we can plug this value of ,
2328,Arjun = 60 ,
2329,Sajal = 40,
2330,27st data,
2331,1_th_sampling,
2332,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
2333,A, Let's think step by step. 
2334,We know that 27 bottles cost A cents. ,
2335,We want to know how much B bottles will cost in dollars. ,
2336,We can set up a proportion, 
2337,We can cross multiply to solve for x, 
2338,27x = AB ,
2339,x = AB/27 ,
2340,"Since we want the answer in dollars, we will divide AB by 2700", 
2341,x = AB/2700 ,
2342,"Therefore, the answer is (A). ",
2343,28st data,
2344,1_th_sampling,
2345,A, Let's think step by step. 
2346,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
2347,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
2348,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
2349,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
2350,12 pm - The dog eats 1/3 of the food in the bowl ,
2351,"Therefore, among A through E, the answer is closest to D, 35%. ",
2352,29st data,
2353,1_th_sampling,
2354,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
2355,A, Let's think step by step. 
2356,The hotel pays $210 per week for newspapers. ,
2357,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
2358,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
2359,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
2360,$8 + $1 = $9 ,
2361,$9 x 7 = $63 ,
2362,30st data,
2363,1_th_sampling,
2364,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
2365,A, Let's think step by step. 
2366,We know that the probability that stock A will increase in value is 0.56. ,
2367,We also know that the probability that stock B will increase in value is 0.74. ,
2368,We want to find the greatest value for the probability that neither of these two events will occur. ,
2369,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
2370,We can use the AND rule for probability to help us solve this problem. ,
2371,The AND rule for probability states that the probability of two events occurring ,
2372,"Therefore, among A through E, the answer is D. ",
2373,P(A AND B) = P(A) * P(B),
2374,P(A AND B) = 0.,
2375,31st data,
2376,1_th_sampling,
2377,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
2378,A, Let's think step by step. 
2379,There are 10 oranges in the basket. ,
2380,You want to choose 2 oranges. ,
2381,How many ways can you choose the first orange? ,
2382,There are 10 ways. ,
2383,How many ways can you choose the second orange? ,
2384,There are 9 ways. ,
2385,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
2386,Answer, (B) 90 
2387,32st data,
2388,1_th_sampling,
2389,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
2390,A, Let's think step by step. 
2391,There are 20 white marbles in the bag. ,
2392,"We pull them out, paint them black, and put them back in. ",
2393,"Now, the bag has 20 black marbles and 20 white marbles. ",
2394,"We pull out 20 marbles again, and this time 1 of them is black. ",
2395,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
2396,"Now, we want to know how many marbles are in the bag in total. ",
2397,We can set up the following equation, 
2398,(% black marbles pulled out ,
2399,"Therefore, among A through E, the answer is D. ",
